species,conifer,crops,hilli,mixed_for,moor_heath,ndvi,pasture,peat,precsea,realmat,scrub,sparse_veg,tempsea,wbann
Lepus_timidus_timidus,2.028841473,-0.653870086,0.306583339,-0.490400795,-0.343897062,-0.330905348,-0.455179978,-0.301509071,0.146574057,-0.322844305,-0.425024934,-0.275216281,-0.503010717,1.313935678
Lepus_timidus_timidus,-0.697867323,-0.653870086,-0.121421788,-0.490400795,1.542269889,-0.996228461,-0.455179978,-0.301509071,0.146574057,-1.026121701,-0.425024934,4.930047953,-0.711516625,2.862442309
Lepus_timidus_timidus,1.119938541,0.511571824,0.416328254,-0.490400795,-0.343897062,-0.330905348,-0.455179978,-0.301509071,0.391756873,-0.021439707,-0.425024934,-0.275216281,-0.464992546,1.056654657
Lepus_timidus_timidus,-0.697867323,-0.653870086,-0.626248507,2.32578574,-0.343897062,-0.140812813,-0.455179978,-0.301509071,0.514348281,-0.272610205,1.509472704,-0.275216281,1.014151932,-0.578566656
Lepus_timidus_timidus,1.119938541,0.511571824,-0.560401586,0.716536291,-0.343897062,-0.568521181,-0.455179978,-0.301509071,1.004713912,-0.297727255,-0.425024934,-0.275216281,1.152561837,-0.631818634
Lepus_timidus_timidus,1.119938541,0.511571824,-0.560401586,0.716536291,-0.343897062,-0.568521181,-0.455179978,-0.301509071,1.004713912,-0.297727255,-0.425024934,-0.275216281,1.152561837,-0.631818634
Lepus_timidus_timidus,1.725873829,-0.653870086,0.685203413,1.118848654,-0.343897062,-0.283382378,-0.455179978,-0.301509071,0.391756873,-0.046556757,-0.425024934,-0.275216281,-0.421628069,0.953777909
Lepus_timidus_timidus,1.422906185,-0.653870086,0.059657246,1.118848654,1.542269889,-0.520997721,-0.455179978,-0.301509071,0.146574057,-0.548897754,-0.425024934,-0.275216281,-0.500634581,1.464751493
Lepus_timidus_timidus,0.514003253,-0.653870086,-0.072036597,1.923473378,-0.343897062,-0.425951779,-0.455179978,-0.301509071,0.146574057,0.179496692,-0.425024934,-0.275216281,-0.246388061,0.139755714
Lepus_timidus_timidus,-0.697867323,-0.653870086,-0.681121034,-0.490400795,-0.343897062,-1.043751432,-0.455179978,-0.301509071,0.882122504,-0.247493156,-0.425024934,-0.275216281,1.149591667,-0.641083263
Lepus_timidus_timidus,-0.697867323,-0.653870086,0.866283138,-0.490400795,2.013811627,-0.853659059,-0.455179978,-0.301509071,0.391756873,-0.724717103,-0.425024934,2.616597182,-0.847550395,3.630318051
Lepus_timidus_timidus,-0.697867323,-0.653870086,0.087093509,-0.490400795,2.956895102,-0.758613608,-0.455179978,-0.301509071,0.146574057,-0.850302352,-0.425024934,-0.275216281,-0.621817502,2.458083899
Lepus_timidus_timidus,-0.697867323,-0.653870086,0.087093509,-0.490400795,2.956895102,-0.758613608,-0.455179978,-0.301509071,0.146574057,-0.850302352,-0.425024934,-0.275216281,-0.621817502,2.458083899
Lepus_timidus_timidus,2.028841473,0.511571824,-0.527478125,-0.490400795,-0.343897062,-0.330905348,-0.455179978,0.849930902,0.146574057,-0.096790856,-0.425024934,-0.275216281,-0.302821284,0.481464231
Lepus_timidus_timidus,1.725873829,-0.653870086,1.766190277,-0.490400795,-0.343897062,-0.568521181,-0.455179978,-0.301509071,0.269165465,-0.272610205,-0.425024934,-0.275216281,-0.460240274,1.296136525
Lepus_timidus_timidus,1.725873829,-0.653870086,-0.609786777,-0.490400795,-0.343897062,-0.140812813,-0.455179978,2.001370875,0.514348281,-0.272610205,-0.425024934,-0.275216281,1.031378916,-0.581234143
Lepus_timidus_timidus,1.119938541,-0.653870086,1.870449241,-0.490400795,-0.343897062,-0.47347475,-0.455179978,3.152810847,0.391756873,-0.096790856,-0.425024934,-0.275216281,-0.338463319,0.652986528
Lepus_timidus_timidus,-0.697867323,1.677013735,0.251710951,-0.490400795,-0.343897062,-1.281367428,-0.455179978,-0.301509071,0.514348281,-0.448429554,-0.425024934,-0.275216281,-0.687161234,2.994512885
Lepus_timidus_timidus,-0.697867323,1.677013735,0.251710951,-0.490400795,-0.343897062,-1.281367428,-0.455179978,-0.301509071,0.514348281,-0.448429554,-0.425024934,-0.275216281,-0.687161234,2.994512885
Lepus_timidus_timidus,-0.697867323,0.511571824,0.904692827,1.118848654,1.542269889,-1.281367428,-0.455179978,-0.301509071,0.514348281,-0.498663654,-0.425024934,-0.275216281,-0.666370047,2.95347735
Lepus_timidus_timidus,-0.697867323,0.511571824,0.904692827,1.118848654,1.542269889,-1.281367428,-0.455179978,-0.301509071,0.514348281,-0.498663654,-0.425024934,-0.275216281,-0.666370047,2.95347735
Lepus_timidus_timidus,-0.697867323,0.511571824,0.904692827,1.118848654,1.542269889,-1.281367428,-0.455179978,-0.301509071,0.514348281,-0.498663654,-0.425024934,-0.275216281,-0.666370047,2.95347735
Lepus_timidus_timidus,0.816970897,-0.653870086,-0.615273974,1.118848654,-0.343897062,-0.283382378,-0.455179978,-0.301509071,0.882122504,-0.071673807,-0.425024934,-0.275216281,0.715352867,-0.717534846
Lepus_timidus_timidus,-0.697867323,-0.653870086,1.404032764,-0.490400795,-0.343897062,-1.614029256,2.014637942,-0.301509071,0.636939689,-0.347961355,-0.425024934,2.038234489,-0.849332496,3.407462503
Lepus_timidus_timidus,2.028841473,-0.653870086,0.147453233,-0.490400795,-0.343897062,0.049279723,-0.455179978,-0.301509071,0.146574057,0.079028492,0.542223885,-0.275216281,-0.151342632,0.092414902
Lepus_timidus_timidus,2.028841473,-0.653870086,0.147453233,-0.490400795,-0.343897062,0.049279723,-0.455179978,-0.301509071,0.146574057,0.079028492,0.542223885,-0.275216281,-0.151342632,0.092414902
Lepus_timidus_timidus,2.028841473,-0.653870086,-0.313475493,-0.490400795,-0.343897062,-0.235859407,-0.455179978,-0.301509071,0.146574057,0.104145542,-0.425024934,-0.275216281,-0.116294631,-0.074491942
Lepus_timidus_timidus,2.028841473,-0.653870086,0.163914963,0.314223929,-0.343897062,-0.188335783,-0.455179978,0.849930902,0.023982649,-0.373078405,-0.425024934,-0.275216281,-0.181044329,0.383711499
Lepus_timidus_timidus,1.725873829,0.511571824,-0.593325046,-0.490400795,-0.343897062,-0.330905348,1.603001622,-0.301509071,0.882122504,-0.297727255,-0.425024934,-0.275216281,1.170976889,-0.619295616
Lepus_timidus_timidus,2.028841473,-0.653870086,0.169402161,-0.490400795,-0.343897062,0.144325664,-0.455179978,-0.301509071,0.023982649,0.079028492,-0.425024934,-0.275216281,0.10468599,-0.035604033
Lepus_timidus_timidus,-0.697867323,-0.653870086,0.449251714,-0.490400795,1.542269889,-1.043751432,-0.455179978,-0.301509071,0.023982649,-1.026121701,-0.425024934,-0.275216281,-0.516673497,2.200655781
