ltt.pc1,ltt.pc2,ltt.pc3,ltt.pc4,ltv.pc1,ltv.pc2,ltv.pc3,ltv.pc4,ltsy.pc1,ltsy.pc2,ltsy.pc3,ltsy.pc4,ltsco.pc1,ltsco.pc2,ltsco.pc3,ltsco.pc4,lth.pc1,lth.pc2,lth.pc3,lth.pc4
1.545197648,-0.886898476,0.904035346,-0.383962755,-0.824685843,1.216756326,1.938821979,-0.149125906,1.322414272,-1.134002394,0.840567604,-0.124826344,-1.818554249,2.042964159,-1.84601842,2.716957384,-3.447288617,-1.675502138,-0.351196649,0.067380859
-0.210984585,0.680991512,1.185666316,1.29516397,-0.824685843,1.216756326,1.938821979,-0.149125906,0.556216796,-1.339957934,0.52952039,-0.3863275,-1.731569853,1.981684547,-1.866434629,2.995928648,-4.593864461,-5.046440777,-3.031256851,-3.487578776
-0.210984585,0.680991512,1.185666316,1.29516397,-0.824685843,1.216756326,1.938821979,-0.149125906,0.38795085,-1.589664978,-0.825810486,-1.272962291,-2.134986041,1.967198958,-1.121420879,0.975189799,-3.186074556,-0.68914403,0.355382411,0.811479876
-1.040002991,1.019240878,-0.355469453,-0.414356517,-0.286653762,2.272036152,2.297505622,-0.880775713,1.05687399,-0.414238031,1.117914023,0.289145974,-3.441240384,-3.170497538,-1.699298386,-1.576346999,-3.73261926,-2.436711852,-0.956961521,-0.697552157
-0.764358789,0.299693553,0.673012689,-0.094830877,-0.286653762,2.272036152,2.297505622,-0.880775713,0.224700753,-1.002703761,-0.808908314,-0.450876762,-1.710399658,2.64461049,-2.853849998,3.732889888,-3.219269183,-0.927889113,0.234951497,0.886201885
0.583690257,-1.538608426,-0.87951566,-1.245283045,-0.824685843,1.216756326,1.938821979,-0.149125906,0.751266745,-0.60868736,0.123348678,0.09351777,-2.004681074,0.875556117,-0.357768649,0.595626398,-3.158128339,-0.692263663,0.348877029,0.801955206
1.597337858,-0.530670921,-0.775768047,3.156873746,-1.158678521,2.729861389,1.944048674,-0.242807238,0.26034804,0.272263673,-0.809410123,-2.174810709,-2.691100861,-2.357885886,-1.664136817,-1.964345135,-2.735372008,-0.078596586,-0.617728328,2.243931214
2.097389403,-1.19567179,1.050507309,-0.069044477,-0.89585906,2.737067525,2.656532872,-0.043698964,0.855520909,-0.722274601,-0.358532145,-0.497040806,-2.761529472,-0.528327214,0.3451909,0.678686448,-3.664151592,-4.036070002,-2.101881959,-2.396675615
-1.33703829,1.387949282,-0.660568398,-0.791769735,-0.74633493,2.00092577,1.828464096,-0.020967406,1.586201996,-0.561183494,1.227081788,0.066592718,-2.062512345,-0.794909743,-0.506305375,-0.414143248,-1.416753787,0.182881473,1.546759296,2.123810895
-1.284092499,3.308370832,-1.277433984,0.654028879,-0.74633493,2.00092577,1.828464096,-0.020967406,0.988320834,-0.4035335,1.128060976,0.362840427,-2.138455347,1.376998171,-1.053918522,0.96696287,-2.868929719,-0.561436468,0.207451614,0.70855901
-1.284092499,3.308370832,-1.277433984,0.654028879,-0.74633493,2.00092577,1.828464096,-0.020967406,1.150421252,-0.461902602,1.040696508,0.338765057,-2.436459308,-0.260545863,0.35234174,0.509808944,-2.503699819,-0.107541617,-0.881532267,2.238712987
-1.015681157,1.061716188,-0.402226246,-0.39824692,-1.505619847,3.049004939,0.723156894,-0.992235447,-0.247620102,-0.489985876,-1.297485142,-2.509029777,-2.147048936,1.919546962,-1.179353845,1.004012973,-2.69964608,-0.901577728,0.84928133,1.401889239
0.215114235,0.364300338,1.746856141,0.759316824,-1.207523436,2.292570352,1.685361122,-0.026830885,0.978189724,-0.414296779,1.140089676,0.364219505,-0.994951038,0.45176954,-0.866182026,3.235745452,-1.845866188,-0.145942886,-1.123102534,4.132990504
0.397988339,-1.467829248,-1.151703696,-0.898756367,-1.254141537,3.909773451,2.901682161,-1.282590461,1.439282472,-0.453980681,1.550607069,1.041822748,-2.143002259,1.894531613,-1.197196328,1.012673922,-3.197996499,-1.012049434,0.2593919,0.87570639
0.127995717,0.207458532,1.368123882,0.462592714,-0.969042292,2.174727647,2.484060888,0.101847033,0.764156709,-0.910692913,-0.135765258,-0.324008714,-2.185374921,1.645642076,-1.12219892,0.990839637,-3.141818267,-0.757024884,0.222890293,0.834564891
