(Sub-)species,Code,PC1,PC2,PC3,PC4,pca1.g1,pca2.g2,pca3.g2,pca4.g2
L.t. timidus,5,-0.664,1.052,0.393,-0.578,0.089,-1.628,-0.968,0.003
L.t. timidus,5,-0.852,1.948,0.507,-0.902,0.277,-2.524,-1.083,0.327
L.t. timidus,5,-0.852,1.948,0.507,-0.902,0.277,-2.524,-1.083,0.327
L.t. timidus,5,1.004,-0.711,-0.952,-0.649,-1.579,0.136,0.377,0.074
L.t. timidus,5,2.206,-0.684,1.044,-0.4,-2.782,0.109,-1.62,-0.176
L.t. timidus,5,1.712,-1.161,-0.606,-1.363,-2.287,0.586,0.031,0.787
L.t. timidus,5,1.735,-0.728,-0.191,-1.023,-2.31,0.153,-0.384,0.448
L.t. timidus,5,0.88,-0.68,-0.624,-0.474,-1.455,0.104,0.049,-0.102
L.t. timidus,5,-0.855,1.819,0.385,-0.835,0.28,-2.394,-0.96,0.26
L.t. timidus,5,-0.855,1.819,0.385,-0.835,0.28,-2.394,-0.96,0.26
L.t. timidus,5,1.478,-0.877,0.084,-0.925,-2.053,0.302,-0.66,0.349
L.t. timidus,5,1.218,-1.198,-1.216,-1.311,-1.793,0.623,0.64,0.735
L.t. timidus,5,1.489,-1.322,-0.534,-0.652,-2.065,0.746,-0.041,0.077
L.t. timidus,5,2.277,-0.872,1.139,0.292,-2.852,0.297,-1.715,-0.867
L.t. timidus,5,2.321,0.925,-0.404,1.815,-2.897,-1.5,-0.172,-2.39
L.t. timidus,5,2.037,-0.581,0.998,-0.229,-2.612,0.006,-1.573,-0.347
L.t. timidus,5,-1.705,4.491,-0.083,-0.767,1.129,-5.067,-0.493,0.192
L.t. timidus,5,-1.705,4.491,-0.083,-0.767,1.129,-5.067,-0.493,0.192
L.t. timidus,5,-1.705,4.491,-0.083,-0.767,1.129,-5.067,-0.493,0.192
L.t. timidus,5,1.543,-0.101,-2.36,0.787,-2.118,-0.475,1.785,-1.362
L.t. timidus,5,2.22,-0.616,1.035,-0.019,-2.795,0.041,-1.61,-0.557
L.t. timidus,5,2.103,-0.649,0.727,-0.564,-2.678,0.074,-1.302,-0.011
L.t. timidus,5,1.738,0.715,1.6,-0.153,-2.313,-1.29,-2.176,-0.423
L.t. timidus,5,1.738,0.715,1.6,-0.153,-2.313,-1.29,-2.176,-0.423
L.t. timidus,5,1.738,0.715,1.6,-0.153,-2.313,-1.29,-2.176,-0.423
L.t. timidus,5,2.386,-1.1,0.988,-0.556,-2.961,0.525,-1.563,-0.019
L.t. timidus,5,1.205,1.015,-1.627,0.041,-1.78,-1.59,1.052,-0.616
L.t. timidus,5,1.555,-0.666,0.232,0.075,-2.13,0.091,-0.807,-0.651
L.t. timidus,5,2.373,0.194,2.056,0.873,-2.949,-0.77,-2.632,-1.449
L.t. timidus,5,1.925,1.45,-3.107,3.026,-2.5,-2.026,2.532,-3.601
L.t. timidus,5,1.383,-0.908,-0.509,-0.935,-1.958,0.333,-0.066,0.359
L.t. timidus,5,1.161,-0.733,-1.068,-0.653,-1.736,0.158,0.493,0.078
L.t. timidus,5,1.643,-0.385,1.173,-0.002,-2.218,-0.19,-1.748,-0.574
L.t. timidus,5,1.572,0.134,-1.012,2.801,-2.148,-0.71,0.437,-3.376
L.t. timidus,5,2.248,-0.01,1.914,0.929,-2.823,-0.566,-2.489,-1.504
L.t. timidus,5,2.374,0.389,1.463,0.609,-2.949,-0.965,-2.038,-1.184
L.t. timidus,5,2.374,0.389,1.463,0.609,-2.949,-0.965,-2.038,-1.184
L.t. timidus,5,-1.511,1.81,0.469,-0.935,0.936,-2.386,-1.045,0.359
L.t. timidus,5,-1.511,1.81,0.469,-0.935,0.936,-2.386,-1.045,0.359
L.t. timidus,5,1.194,-1.179,-0.331,-0.783,-1.769,0.604,-0.244,0.207
L.t. timidus,5,2.029,1.384,-1.385,0.287,-2.604,-1.959,0.81,-0.863
L.t. timidus,5,1.278,1.27,-2.296,0.47,-1.853,-1.845,1.721,-1.045
L.t. timidus,5,2.091,-0.362,1.454,0.597,-2.666,-0.213,-2.029,-1.172
L.t. timidus,5,1.416,-0.38,-0.034,-0.444,-1.992,-0.195,-0.542,-0.131
L.t. timidus,5,1.416,-0.38,-0.034,-0.444,-1.992,-0.195,-0.542,-0.131
L.t. timidus,5,1.584,-0.721,0.604,-0.167,-2.159,0.146,-1.179,-0.409
L.t. timidus,5,-0.045,3.4,-0.117,-0.38,-0.531,-3.976,-0.458,-0.195
L.t. timidus,5,1.503,-1.388,-0.186,-1.106,-2.078,0.812,-0.39,0.53
L.t. timidus,5,0.594,3.832,-1.709,0.282,-1.17,-4.407,1.134,-0.857
L.t. timidus,5,2.26,-0.489,1.484,0.551,-2.835,-0.086,-2.06,-1.126
L.t. timidus,5,2.221,-0.558,1.089,-0.425,-2.797,-0.017,-1.664,-0.151
L.t. timidus,5,2.32,0.836,0.165,1.872,-2.896,-1.411,-0.74,-2.447
L.t. timidus,5,2.128,-1.34,0.093,-0.511,-2.703,0.765,-0.668,-0.064
L.t. timidus,5,0.795,3.401,-1.897,-0.867,-1.371,-3.977,1.321,0.292
L.t. timidus,5,0.795,3.401,-1.897,-0.867,-1.371,-3.977,1.321,0.292
L.t. timidus,5,1.891,-0.294,0.936,0.148,-2.466,-0.281,-1.511,-0.723
L.t. timidus,5,1.32,0.29,-0.767,-0.841,-1.896,-0.865,0.191,0.266
L.t. timidus,5,1.809,-0.261,0.929,0.181,-2.384,-0.314,-1.504,-0.756
L.t. timidus,5,1.885,0.705,1.084,-0.256,-2.46,-1.28,-1.66,-0.319
L.t. timidus,5,1.773,-0.208,1.032,0.146,-2.348,-0.367,-1.608,-0.722
L.t. timidus,5,1.717,0.045,1.065,0.135,-2.292,-0.62,-1.64,-0.71
L.t. timidus,5,2.023,-0.591,0.772,-0.741,-2.599,0.015,-1.348,0.165
L.t. timidus,5,-0.789,3.435,-0.156,-0.069,0.214,-4.01,-0.419,-0.506
L.t. timidus,5,1.854,-0.399,-1.007,1.526,-2.429,-0.176,0.431,-2.101
L.t. timidus,5,2.399,0.72,0.95,0.247,-2.974,-1.295,-1.526,-0.822
L.t. timidus,5,2.399,0.72,0.95,0.247,-2.974,-1.295,-1.526,-0.822
L.t. timidus,5,2.19,0.139,0.939,0.052,-2.766,-0.715,-1.514,-0.627
L.t. timidus,5,-0.229,4.318,0.53,-0.645,-0.346,-4.893,-1.105,0.07
L.t. timidus,5,-0.229,4.318,0.53,-0.645,-0.346,-4.893,-1.105,0.07
L.t. timidus,5,1.529,-0.3,-1.145,2.009,-2.104,-0.275,0.569,-2.584
L.t. timidus,5,1.731,-0.747,0.622,-0.214,-2.306,0.171,-1.197,-0.361
L.t. timidus,5,1.864,0.713,-0.949,0.605,-2.439,-1.288,0.373,-1.181
L.t. timidus,5,2.466,-0.101,1.519,0.866,-3.041,-0.475,-2.094,-1.441
L.t. timidus,5,2.291,1.057,-2.519,2.635,-2.867,-1.633,1.943,-3.211
L.t. timidus,5,2.291,1.057,-2.519,2.635,-2.867,-1.633,1.943,-3.211
L.t. timidus,5,1.483,-0.392,0.066,-0.063,-2.058,-0.183,-0.641,-0.512
L.t. timidus,5,1.437,-1.006,-0.797,-1.002,-2.012,0.431,0.222,0.427
L.t. timidus,5,1.789,-0.704,0.925,0.498,-2.365,0.128,-1.5,-1.073
L.t. timidus,5,1.358,-1.712,-0.839,-1.031,-1.934,1.136,0.264,0.456
L.t. timidus,5,1.899,-1.019,0.012,-1,-2.474,0.443,-0.587,0.424
L.t. timidus,5,1.826,-0.308,0.96,0.171,-2.401,-0.267,-1.536,-0.746
L.t. timidus,5,1.295,-1.158,-1.378,-1.107,-1.87,0.583,0.803,0.532
L.t. timidus,5,1.77,-0.744,-0.252,-0.951,-2.346,0.169,-0.324,0.375
L.t. timidus,5,2.046,-0.1,0.916,0.114,-2.621,-0.475,-1.491,-0.689
L.t. timidus,5,2.047,-0.409,0.992,0,-2.622,-0.166,-1.567,-0.576
L.t. timidus,5,2.843,0.777,-0.8,2.597,-3.418,-1.352,0.225,-3.173
L.t. timidus,5,2.843,0.777,-0.8,2.597,-3.418,-1.352,0.225,-3.173
L.t. timidus,5,1.057,3.986,-2.661,-0.023,-1.632,-4.561,2.086,-0.552
L.t. timidus,5,1.352,2.76,-2.621,2.25,-1.927,-3.336,2.045,-2.826
